제목,글쓴이,발행일,카테고리,원문링크
글로벌 PM으로 살아남기 4편 : 미국은 다르다,셩PM,2026-07-07,"기획, 개발, 비즈니스",https://brunch.co.kr/@103ab3ed4f1f4f6/192?ref=surfit.io
수학은 당신의 노력에 관심이 없다,비즈쿠키,2026-07-07,비즈니스,https://eopla.net/magazines/44315?ref=surfit.io
"구글, EU 반독점 소송 최종 패소…7조원대 과징금 확정",김원민,2026-07-07,비즈니스,https://byline.network/2026/07/0703-4/?ref=surfit.io
(번역) 2026년 리액트 라이브러리,한정(Han Jung),2026-07-07,개발,https://junghan92.medium.com/2026%EB%85%84-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EB%9D%BC%EC%9D%B4%EB%B8%8C%EB%9F%AC%EB%A6%AC-af1f97bfe136?ref=surfit.io
[바이브코딩 워크샵 회고록] 비개발자 148명에게 2주 동안 AI를 붙여봤습니다,어피닛,2026-07-07,"개발, 협업, AI",https://blog.afinit.com/%EB%B0%94%EC%9D%B4%EB%B8%8C%EC%BD%94%EB%94%A9-%EC%9B%8C%ED%81%AC%EC%83%B5-%ED%9A%8C%EA%B3%A0%EB%A1%9D%EB%B9%84%EA%B0%9C%EB%B0%9C%EC%9E%90-148%EB%AA%85%EC%97%90%EA%B2%8C-2%EC%A3%BC-%EB%8F%99%EC%95%88-ai%EB%A5%BC-%EB%B6%99%EC%97%AC%EB%B4%A4%EC%8A%B5%EB%8B%88%EB%8B%A4-218351?ref=surfit.io
코드와 문서만 읽은 LLM은 어떻게 사람과 같은 팀을 1위로 골랐을까,NAVER D2,2026-07-07,"개발, AI, 데이터",https://d2.naver.com/helloworld/2541696?ref=surfit.io
코드에서 1급 시민으로 다룬다는 것,아임웹,2026-07-07,"개발, AI",https://tech.imweb.me/posts/treat-concepts-first-class/?ref=surfit.io
Redis와 Valkey를 해킹해 보자(Feat. CVE ID),TOAST Meetup,2026-07-07,개발,https://meetup.nhncloud.com/posts/416?ref=surfit.io
자바의 숙원 ‘프로젝트 발할라’ 마침내 JDK 포함,김우용,2026-07-07,개발,https://byline.network/2026/07/6-414/?ref=surfit.io
SSRF(Server-Side Request Forgery) 공격과 방어,Dale Seo,2026-07-07,개발,https://daleseo.com/ssrf/?ref=surfit.io
"합성 패널이란? 개념, 작동 원리, 상용 LLM과의 차이 총정리",오픈서베이 Opensurvey,2026-07-07,"AI, 데이터",https://blog.opensurvey.co.kr/research-tips/synthetic-panel-definition/?ref=surfit.io
"차세대 GPT-5.6, AI 거인의 부활?",제이,2026-07-07,"AI, 비즈니스",https://brunch.co.kr/@jjay0410/11?ref=surfit.io
"앤트로픽, AI 탈옥 위험도 평가 프레임워크 ‘CJS’ 초안 공개",곽중희,2026-07-07,"AI, 비즈니스, 데이터",https://byline.network/2026/07/6-413/?ref=surfit.io
인간은 미션만 던진다 : Matrix가 불 붙인 '0-Person Company' 논쟁,비주류VC,2026-07-07,"기획, 비즈니스",https://eopla.net/magazines/44341?ref=surfit.io
"메가딜이 지배하는 시장, 상위 5개 딜이 전체의 65%",벤처다이제스트,2026-07-07,비즈니스,https://brunch.co.kr/@abyplus/167?ref=surfit.io
"🔥1,700억원 태우고 14년 만에 문 닫는 베트남 2위 이커머스, Sendo가 남긴 뼈아픈 교훈",원대로,2026-07-07,"개발, 비즈니스",https://eopla.net/magazines/44340?ref=surfit.io
퍼포먼스 마케팅이 또 죽었다,장영운,2026-07-07,비즈니스,https://eopla.net/magazines/44396?ref=surfit.io
'궁전의 정원'에서 '눈치 보는 기계'가 되기까지,윈터노트,2026-07-07,UIUX,https://brunch.co.kr/@winterkid/29?ref=surfit.io
"“무조건 큰 LLM은 그만”…네이버, 서비스에 맞춘 ‘프로덕트 네이티브 LLM’ 승부수",성아인,2026-07-07,"기획, AI, 비즈니스, 데이터",https://byline.network/2026/07/05_naver/?ref=surfit.io
Claude Fable 5 - 잘 사용하기,조이,2026-07-06,AI,https://zoey.day/blog?ref=surfit.io&post=y9e1xp2xegy97m7k35vz
"마이크로소프트, 6000명 규모 FDE 조직 설립",김우용,2026-07-06,"개발, 비즈니스",https://byline.network/2026/07/3-419/?ref=surfit.io
아틀라시안은 왜 디자인 시스템을 다시 만들었나,Jihyung Yoo,2026-07-06,디자인,https://brunch.co.kr/@jihyungyoo/5?ref=surfit.io
CUI(채팅)의 한계와 하이브리드 인터페이스의 등장,현업자 B,2026-07-06,"기획, UIUX",https://brunch.co.kr/@practitioner-b/8?ref=surfit.io
우리 팀 design.md 딸깍으로 만들기,프레이,2026-07-06,"AI, UIUX",https://brunch.co.kr/@kim-yezi/23?ref=surfit.io
"""조금만 고치면 될 것 같은데"" 하다가, 밤을 새운다",프레이,2026-07-06,"AI, 비즈니스",https://brunch.co.kr/@kim-yezi/27?ref=surfit.io
"""AI 버블이라고요? 창업하기 역사상 최고의 시기죠""",조쉬의 뉴스레터,2026-07-06,"AI, 비즈니스",https://eopla.net/magazines/44280?ref=surfit.io
Redis 6.x에서 Valkey 9.0으로: 운영 캐시 성능과 비용을 함께 개선한 전환기,아임웹,2026-07-06,"개발, 데이터",https://tech.imweb.me/posts/redis-oss-valkey-upgrade/?ref=surfit.io
"지식을 한곳에 모았더니, 아무나 다 볼 수 있게 됐다 — payload 필터로 RBAC를 다시 세운 이유",GS리테일 DX블로그,2026-07-06,"개발, AI, 데이터",https://gsretail.tistory.com/90?ref=surfit.io
"클라우드플레어, 구글에 반기…“검색·학습 봇 구분하라”",심재석,2026-07-06,개발,https://byline.network/2026/07/cloudflare/?ref=surfit.io
핵심인재 리텐션 전략: HR이 관리해야 하는 지표부터 액션까지,그리팅,2026-07-06,"협업, 비즈니스, 데이터",https://blog.greetinghr.com/key-talent-retention-strategy/?ref=surfit.io
"잦은 이직, 이렇게 접근해보세요",정구철,2026-07-06,비즈니스,https://eopla.net/magazines/44229?ref=surfit.io
PM의 서비스 분석 : Jack & Jill 마케팅 편,셩PM,2026-07-06,"기획, 비즈니스, 데이터",https://brunch.co.kr/@103ab3ed4f1f4f6/194?ref=surfit.io
누구도 자신을 악당이라고 생각하지 않는다,iid 이드,2026-07-06,협업,https://brunch.co.kr/@iid-hr/284?ref=surfit.io
미팅전에 투자자를 설득하는 한 장,벤처다이제스트,2026-07-06,"커뮤니케이션, 비즈니스",https://brunch.co.kr/@abyplus/166?ref=surfit.io
"구글 광고 입찰 룰, 인스타그램 알고리즘이 바뀝니다. 7월 1주차 마케터 체크리스트 3가지",소마코,2026-07-06,비즈니스,https://somako.co.kr/google-ads-bid-target-adj-july-w1/?ref=surfit.io
하루면 사라지는 CEO 아담 모세리의 Q&A 모음.zip,위픽코퍼레이션,2026-07-06,비즈니스,https://eopla.net/magazines/44227?ref=surfit.io
"AI가 만든 이미지, 우리 쇼핑몰에 써도 될까? 2026 AI 저작권 가이드",아임웹,2026-07-06,"AI, 비즈니스",https://eopla.net/magazines/44232?ref=surfit.io
"민음사의 이례적 성공, 쌓아온 것이 달랐습니다",기묘한,2026-07-06,"디자인, 비즈니스",https://brunch.co.kr/@trendlite/710?ref=surfit.io
믿어도 되나요 AI의 숫자를,하트카운트,2026-07-06,"AI, 데이터",https://community.heartcount.io/ko/semantic-mcp-decision-agent/?ref=surfit.io
오픈AI의 자체 AI 추론 칩 ‘할라페뇨’의 의미,김우용,2026-07-06,"AI, 비즈니스",https://byline.network/2026/07/3-424/?ref=surfit.io
"메타, 클라우드 컴퓨팅 사업 진출하나",BYLINE NETWORK,2026-07-06,"개발, 비즈니스",https://byline.network/2026/07/meta-cloud/?ref=surfit.io
Units: 학생 주거 브랜드,Big Horror Athens,2026-07-06,"IT, 디자인",https://units.gr/en/homepage/?ref=surfit.io
PM의 서비스 분석 : Jack & Jill,셩PM,2026-07-03,"기획, 개발, 비즈니스, 데이터",https://brunch.co.kr/@103ab3ed4f1f4f6/188?ref=surfit.io
"회사는 안 사고, 사람만 사겠습니다",봄바람,2026-07-03,비즈니스,https://brunch.co.kr/@springwind/227?ref=surfit.io
AI로 인해 상대뿐만 아니라 내 진입장벽도 사라졌다,iid 이드,2026-07-03,"AI, 비즈니스",https://brunch.co.kr/@iid-hr/283?ref=surfit.io
"""코딩은 더 이상 병목이 아닙니다"" 진짜 문제는 그 다음이에요",조쉬의 뉴스레터,2026-07-03,"개발, AI",https://eopla.net/magazines/44167?ref=surfit.io
클로드 디자인: 바이브 디자인하기,Mia,2026-07-03,"디자인, AI",https://brunch.co.kr/@miakimia/11?ref=surfit.io
"""이런 버튼 만들어줘""와 ""우리 버튼 써""는 다르다",프레이,2026-07-03,UIUX,https://brunch.co.kr/@kim-yezi/22?ref=surfit.io
왓챠 직원 누구나 AI 앱을 만들 수 있게 된 이유,Watcha 팀 블로그,2026-07-03,"개발, AI, 데이터",https://medium.com/watcha/%EC%99%93%EC%B1%A0%EA%B0%80-%EC%A0%84-%EC%A7%81%EC%9B%90%EC%9D%B4-%EC%9E%90%EC%8B%A0%EC%9D%98-ai-%EC%95%B1%EC%9D%84-%EA%B0%80%EC%A7%88-%EC%88%98-%EC%9E%88%EA%B2%8C-%EB%90%9C-%EC%9D%B4%EC%9C%A0-a71ddfaa6df7?ref=surfit.io
옴니채널 재고 정합성 한계에 대응하는 인벤토리 데이터 파이프라인 구축기,올리브영 기술블로그,2026-07-03,"개발, 데이터",https://oliveyoung.tech/2026-07-01/inventory-pipeline/?ref=surfit.io
"충돌은 나누고, 성능은 합치다: 효율적인 LLM Post-training 전략 MERIT",CLOVA,2026-07-03,"기획, IT, AI, 비즈니스, 데이터",https://clova.ai/tech-blog/%EC%B6%A9%EB%8F%8C%EC%9D%80-%EB%82%98%EB%88%84%EA%B3%A0-%EC%84%B1%EB%8A%A5%EC%9D%80-%ED%95%A9%EC%B9%98%EB%8B%A4-%ED%9A%A8%EC%9C%A8%EC%A0%81%EC%9D%B8-llm-post-training-%EC%A0%84%EB%9E%B5-merit?ref=surfit.io
학습에이전트 - Building the Brain,약풍(Yakpoong),2026-07-03,"개발, AI, 데이터, UIUX",https://tech.inflab.com/20260621-study-agent/%ED%95%99%EC%8A%B5%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8%20-%20Building%20the%20Brain/?ref=surfit.io
한국의 코파운딩은 순서가 거꾸로다,Peter Shin,2026-07-03,비즈니스,https://brunch.co.kr/@shndon0220/364?ref=surfit.io
중국을 제대로 안 보는 대가,오즈의 지식토킹,2026-07-03,비즈니스,https://maily.so/oz.talking/posts/1gz2e85nz3q?ref=surfit.io
"AI가 대신 장바구니를 채울 때, 브랜드가 살아남는 법",소마코,2026-07-03,"디자인, AI, 비즈니스",https://somako.co.kr/ai-shopping-agents-commerce/?ref=surfit.io
"햄버거, 라지 세트로 하시겠어요? 한 마디 안에 숨은 매출 설계",카카오벤처스,2026-07-03,"개발, 비즈니스",https://www.kakao.vc/blog/upsell?ref=surfit.io
기업용 AI 업체에 '주도권' 뺏기지 않기 위해 꼭 알아야 할 기술 용어,플렉스팀,2026-07-03,"기획, AI",https://eopla.net/magazines/44075?ref=surfit.io
"현대카드, 알파벳카드를 독자 브랜드로 분리",디자인 나침반,2026-07-03,디자인,https://designcompass.org/2026/07/02/hyundaicard-alphabet-card-branding/?ref=surfit.io
"한국어 영상, 내 목소리로 영어 더빙하기(Seed Audio 1.0)",데일리 프롬프트,2026-07-03,AI,https://blog.secondbrush.co.kr/dailyprompt-783/?ref=surfit.io
"엘리베이터 피치, 30초 안에 투자자의 질문을 끌어내기",벤처다이제스트,2026-07-03,비즈니스,https://brunch.co.kr/@abyplus/164?ref=surfit.io
"무신사 무진장 AI 광고제, 1,600편이 쏟아진 캠페인의 비밀",소마코,2026-07-03,"디자인, AI, 비즈니스",https://somako.co.kr/musinsa-ai-advertising-system/?ref=surfit.io
Reunion: 청정에너지 거래 플랫폼,Startup Gallery,2026-07-03,"기획, IT",https://www.reunioninfra.com/?ref=surfit.io
Edra: 업무 자동화 플랫폼,saasadmin,2026-07-03,"기획, IT",https://edra.ai/?ref=surfit.io
"“역대급 에이전트 기능” 앤트로픽, ‘클로드 소네트 5’ 출시",최석영,2026-07-02,"기획, 비즈니스",https://ditoday.com/%EC%97%AD%EB%8C%80%EA%B8%89-%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8-%EA%B8%B0%EB%8A%A5-%EC%95%A4%ED%8A%B8%EB%A1%9C%ED%94%BD-%ED%81%B4%EB%A1%9C%EB%93%9C-%EC%86%8C%EB%84%A4%ED%8A%B8-5-%EC%B6%9C/?ref=surfit.io
"챗GPT 광고 시작, 누가 먼저 집행했을까? 클리오 ‘AI 대화형 광고’ 자리",소마코,2026-07-02,"AI, 비즈니스",https://somako.co.kr/chatgpt-conversational-ads-clio/?ref=surfit.io
"만드는 비용이 0이 되자, 비로소 비싸진 것",장민준,2026-07-02,비즈니스,https://brunch.co.kr/@e0636059d73b471/40?ref=surfit.io
중국에서 부는 AI발 감원 바람,윤소정,2026-07-02,"AI, 비즈니스",https://brunch.co.kr/@gofk5032/108?ref=surfit.io
"주 4 일제, 도입 전에 꼭 구분해야 할 4가지 유형과 실무 쟁점 총정리",그리팅,2026-07-02,협업,https://blog.greetinghr.com/four-day-workweek-types/?ref=surfit.io
Higgsfield에서 링크드인 포스팅하기(Supercomputer),데일리 프롬프트,2026-07-02,"AI, 비즈니스",https://blog.secondbrush.co.kr/dailyprompt-782/?ref=surfit.io
2026 상반기 Hot🔥보안 사건 사고,Theori BLOG,2026-07-02,"AI, 데이터",https://theori.io/ko/blog/2026-h1-hot-security-issue-case?ref=surfit.io
에러로그 하나에 깨던 새벽에서 벗어나기까지 — 상품 모니터링 진화기,길만자 |,2026-07-02,개발,https://oliveyoung.tech/2026-06-30/product-monitoring-evolution/?ref=surfit.io
컬렉션이 KB만큼 늘어나기 시작했다,GS리테일 DX블로그,2026-07-02,"AI, 데이터",https://gsretail.tistory.com/89?ref=surfit.io
"돌려쓰던 테스트 환경을, 각자의 환경으로: 배포 병목을 없앤 이야기",마이리얼트립,2026-07-02,개발,https://blog.myrealtrip.com/dolryeosseudeon-teseuteu-hwangyeongeul-gagjayi-hwangyeongeuro-baepo-byeongmogeul-eobsaen-iyagi/?ref=surfit.io
귀찮음을 클릭으로 바꾼 UX,uibowl,2026-07-02,"기획, UIUX",https://brunch.co.kr/@uibowl/402?ref=surfit.io
일론 머스크가 5년째 못 이룬 꿈,프레이,2026-07-02,"개발, 비즈니스",https://brunch.co.kr/@kim-yezi/21?ref=surfit.io
투자 거절 이후 No를 다음 라운드의 자산으로 바꾸기,벤처다이제스트,2026-07-02,비즈니스,https://brunch.co.kr/@abyplus/161?ref=surfit.io
🤣만드는 건 이제 10분이면 끝. 근데 누가 돈 낼 건데?,원대로,2026-07-02,비즈니스,https://eopla.net/magazines/44109?ref=surfit.io
"OpenAI, Codex 전용 미니 키보드",디자인 나침반,2026-07-02,"기획, AI",https://designcompass.org/2026/07/01/openai-codex-micro-keyboard/?ref=surfit.io
"구글, ‘가짜 전화 감지’ 기능 발표… AI 음성 딥페이크·전화번호 사기 막는다",김동욱,2026-07-02,"기획, AI, 커뮤니케이션, 비즈니스",https://ditoday.com/%EA%B5%AC%EA%B8%80-%EA%B0%80%EC%A7%9C-%EC%A0%84%ED%99%94-%EA%B0%90%EC%A7%80-%EA%B8%B0%EB%8A%A5-%EB%B0%9C%ED%91%9C-ai-%EC%9D%8C%EC%84%B1-%EB%94%A5%ED%8E%98%EC%9D%B4%ED%81%AC%C2%B7%EC%A0%84/?ref=surfit.io
"어도비, 파이어플라이 AI로 디즈니 테마파크 개발 돕는다",김동욱,2026-07-02,"개발, AI, 비즈니스",https://ditoday.com/%EC%96%B4%EB%8F%84%EB%B9%84-%ED%8C%8C%EC%9D%B4%EC%96%B4%ED%94%8C%EB%9D%BC%EC%9D%B4-ai%EB%A1%9C-%EB%94%94%EC%A6%88%EB%8B%88-%ED%85%8C%EB%A7%88%ED%8C%8C%ED%81%AC-%EA%B0%9C%EB%B0%9C-%EB%8F%95%EB%8A%94/?ref=surfit.io
"출퇴근길에 딱, 3년 만에 부활한 카카오톡 미니게임",이슬찬,2026-07-02,"기획, 비즈니스",https://byline.network/2026/07/30-572/?ref=surfit.io
2026 Q2 한국 스타트업 투자 통계,더브이씨,2026-07-02,"개발, 비즈니스",https://thevc.kr/discussions/korea_startup_funding_2026_q2?ref=surfit.io
"위메이드, 중국계 자본 품으로…최대주주 바뀐다",윤정환,2026-07-02,비즈니스,https://byline.network/2026/06/30-570/?ref=surfit.io
AI가 디자이너를 둘로 가른다,프레이,2026-07-01,"디자인, AI, 비즈니스",https://brunch.co.kr/@kim-yezi/19?ref=surfit.io
취준생에게 공포를 파는 사람들,오즈의 지식토킹,2026-07-01,비즈니스,https://maily.so/oz.talking/posts/mjz6kywyrwk?ref=surfit.io
이직 전에 대표 경력 한 번은 찾아보세요,iid 이드,2026-07-01,비즈니스,https://brunch.co.kr/@iid-hr/282?ref=surfit.io
디자인시스템 팀은 디자인시스템만 잘 만들면 될까,당근 테크 블로그,2026-07-01,"개발, 디자인, UIUX",https://medium.com/daangn/%EB%94%94%EC%9E%90%EC%9D%B8%EC%8B%9C%EC%8A%A4%ED%85%9C-%ED%8C%80%EC%9D%80-%EB%94%94%EC%9E%90%EC%9D%B8%EC%8B%9C%EC%8A%A4%ED%85%9C%EB%A7%8C-%EC%9E%98-%EB%A7%8C%EB%93%A4%EB%A9%B4-%EB%90%A0%EA%B9%8C-4f6f2478a8db?source=rss----4505f82a2dbd---4&ref=surfit.io
"혼자 시작해 전국 오픈까지, 당근 레슨/과외 빌딩 로그",당근 테크 블로그,2026-07-01,"기획, 개발, 비즈니스",https://medium.com/daangn/%ED%98%BC%EC%9E%90-%EC%8B%9C%EC%9E%91%ED%95%B4-%EC%A0%84%EA%B5%AD-%EC%98%A4%ED%94%88%EA%B9%8C%EC%A7%80-%EB%8B%B9%EA%B7%BC-%EB%A0%88%EC%8A%A8-%EA%B3%BC%EC%99%B8-%EB%B9%8C%EB%94%A9-%EB%A1%9C%EA%B7%B8-d4e61f6ba32f?source=rss----4505f82a2dbd---4&ref=surfit.io
AI에게 UX 라이팅을 맡겨도 될까요? - 네!,팀스파르타 디자인팀,2026-07-01,"AI, UIUX",https://brunch.co.kr/@8a0100de7ca0488/16?ref=surfit.io
"AI 시대, 프로덕트 디자이너가 쌓고 있는 것",문경덕,2026-07-01,"기획, 디자인, AI",https://brunch.co.kr/@dad8d14cac41474/22?ref=surfit.io
비전공자가 알면 유용한 디자인 심리학 02: 열쇠공의 역설,RBBM 🎒,2026-07-01,"협업, 디자인",https://redbusbagman.com/design-psychology-02-locksmith-paradox/?ref=surfit.io
마이리얼트립 재무실장의 AI 에이전트 구축 일지,마이리얼트립,2026-07-01,AI,https://medium.com/myrealtrip-product/%EB%A7%88%EC%9D%B4%EB%A6%AC%EC%96%BC%ED%8A%B8%EB%A6%BD-%EC%9E%AC%EB%AC%B4%EC%8B%A4%EC%9E%A5%EC%9D%98-ai-%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8-%EA%B5%AC%EC%B6%95-%EC%9D%BC%EC%A7%80-f782fa0ed963?source=rss----f516ea7fca7c---4&ref=surfit.io
맥락이 형태를 결정할 때,Watcha 팀 블로그,2026-07-01,"디자인, UIUX",https://medium.com/watcha/%EB%A7%A5%EB%9D%BD%EC%9D%B4-%ED%98%95%ED%83%9C%EB%A5%BC-%EA%B2%B0%EC%A0%95%ED%95%A0-%EB%95%8C-8695fae42885?source=rss----bd1678892a27---4&ref=surfit.io
OpenRouter: 키 하나로 모든 LLM을 부르는 통합 API,Dale Seo,2026-07-01,"개발, AI, 데이터",https://daleseo.com/openrouter/?ref=surfit.io
Alert 시스템을 표준화하고 IaC로 운영하기,정동호 (Dongho Jung),2026-07-01,개발,https://engineering.ab180.co/stories/standardizing-alert-system-with-iac?ref=surfit.io
오픈클로 iOS와 Android 앱 출시,디자인 나침반,2026-07-01,"기획, AI, 비즈니스",https://designcompass.org/2026/06/30/openclaw-ios%EC%99%80-android/?ref=surfit.io
문의 폼을 AI 에이전트로 교체했을 때 영업 미팅이 늘어나는 메커니즘,신동수,2026-07-01,"개발, AI, 비즈니스",https://eopla.net/magazines/44076?ref=surfit.io
Codex에서 Higgsfield 이미지와 영상 생성하기,데일리 프롬프트,2026-07-01,AI,https://blog.secondbrush.co.kr/dailyprompt-781/?ref=surfit.io
"응용 AI로의 전환, 파운데이션에서 버티컬 솔루션으로",벤처다이제스트,2026-07-01,"개발, AI, 비즈니스",https://brunch.co.kr/@abyplus/160?ref=surfit.io
"토스 “스테이블코인, 메인넷 운영은 검토 안해 ”",이수민,2026-07-01,비즈니스,https://byline.network/2026/06/0629-3/?ref=surfit.io
라이브커머스 시작 가이드 소규모 브랜드가 첫 방송으로 매출을 만드는 법,One Point,2026-07-01,"디자인, 비즈니스",https://1point.kr/blog/insights/live-commerce-complete-guide-for-small-brands/?ref=surfit.io
Vercel Ship 26: 컨퍼런스,SEESAW ✦,2026-07-01,IT,https://vercel.com/ship?ref=seesaw
Bloom 커뮤니티에서 배운 AI 인사이트 17가지,클래미,2026-06-30,"AI, 비즈니스",https://brunch.co.kr/@hiclemi/187?ref=surfit.io
곡괭이에 줄 선 실리콘밸리,오즈의 지식토킹,2026-06-30,"개발, 비즈니스",https://maily.so/oz.talking/posts/g0zmlmp7rql?ref=surfit.io
Figma가 다시 필요해졌다,서란,2026-06-30,"디자인, UIUX",https://brunch.co.kr/@seorann/8?ref=surfit.io
